&Agr;|A|a|up
&agr;|a|a|none
&adelgr;|a|a|none
&aacgr;|av|a|acute
&Aacgr;|A&228|a|up_acute
&agvgr;|a&250|a|grave
&Agvgr;|A&217|a|up_grave
&atigr;|a&240|a|tilde
&Atigr;|A&240|a|up_tilde
&adiagr;|a&231|a|none
&adiagvgr;|a&048|a|diaresis_grave
&aacdiagr;|a&232|a|diaresis_acute
&adiatigr;|a&057|a|diaresis_tilde
&sbagr;|aj|a|smooth
&sbAgr;|1A|a|up_smooth
&rbagr;|aJ|a|rough
&rbAgr;|2A|a|up_rough
&sbaacgr;|a&230|a|smooth_acute
&sbAacgr;|3A|a|up_smooth_acute
&rbaacgr;|a&229|a|rough_acute
&rbAacgr;|4A|a|up_rough_acute
&sbagvgr;|a&222|a|smooth_grave
&sbAgvgr;|5A|a|up_smooth_grave
&rbagvgr;|a&221|a|rough_grave
&rbAgvgr;|6A|a|up_rough_grave
&sbatigr;|a&248|a|smooth_tilde
&sbAtigr;|7A|a|up_smooth_tilde
&rbatigr;|a&223|a|rough_tilde
&rbAtigr;|8A|a|up_rough_tilde
&bgr;|b|b|none
&Bgr;|B|b|up
&ggr;|g|c|none
&Ggr;|G|c|up
&gtigr;|g|c|none
&dgr;|d|d|none
&Dgr;|D|d|up
&egr;|e|e|none
&Egr;|E|e|up
&edelgr;|e|e|none
&eacgr;|ev|e|acute
&Eacgr;|E&228|e|up_acute
&egvgr;|e&250|e|grave
&Egvgr;|E&217|e|up_grave
&etigr;|e&240|e|tilde
&Etigr;|E&240|e|up_tilde
&sbegr;|ej|e|smooth
&sbEgr;|1E|e|up_smooth
&rbegr;|eJ|e|rough
&rbEgr;|2E|e|up_rough
&sbeacgr;|e&230|e|smooth_acute
&sbEacgr;|3E|e|up_smooth_acute
&rbeacgr;|e&229|e|rough_acute
&rbEacgr;|4E|e|up_rough_acute
&sbegvgr;|e&222|e|smooth_grave
&sbEgvgr;|5E|e|up_smooth_grave
&rbegvgr;|e&221|e|rough_grave
&rbEgvgr;|6E|e|up_rough_grave
&sbetigr;|e&248|e|smooth_tilde
&sbEtigr;|7E|e|up_smooth_tilde
&rbetigr;|e&223|e|rough_tilde
&rbEtigr;|8E|e|up_rough_tilde
&zgr;|z|g|none
&Zgr;|Z|g|up
&eegr;|h|h|none
&EEgr;|H|h|up
&eeacgr;|hv|h|acute
&EEacgr;|H&228|h|up_acute
&eegvgr;|h&250|h|grave
&EEgvgr;|H&217|h|up_grave
&eetigr;|h&240|h|tilde
&EEtigr;|H&240|h|up_tilde
&sbeegr;|hj|h|smooth
&sbEEgr;|1H|h|up_smooth
&rbeegr;|hJ|h|rough
&rbEEgr;|2H|h|up_rough
&sbeeacgr;|h&230|h|smooth_acute
&sbEEacgr;|3H|h|up_smooth_acute
&rbeeacgr;|h&229|h|rough_acute
&rbEEacgr;|4H|h|up_rough_acute
&sbeegvgr;|h&222|h|smooth_grave
&sbEEgvgr;|5H|h|up_smooth_grave
&rbeegvgr;|h&221|h|rough_grave
&rbEEgvgr;|6H|h|up_rough_grave
&sbeetigr;|h&248|h|smooth_tilde
&sbEEtigr;|7H|h|up_smooth_tilde
&rbeetigr;|h&223|h|rough_tilde
&rbEEtigr;|8H|h|up_rough_tilde
&thgr;|q|i|none
&THgr;|Q|i|up
&igr;|i|j|none
&Igr;|I|j|up
&idelgr;|i|j|none
&iacgr;|iv|j|acute
&Iacgr;|I&228|j|up_acute
&igvgr;|i&250|j|grave
&Igvgr;|I&217|j|up_grave
&itigr;|i&240|j|tilde
&Itigr;|I&240|j|up_tilde
&idiagr;|i&231|j|diaresis
&iacdiagr;|i&232|j|diaresis_acute
&idiagvgr;|i0|j|diaresis_grave
&idiatigr;|i9|j|diaresis_tilde
&sbigr;|ij|j|smooth_tilde
&sbIgr;|1I|j|up_smooth
&rbigr;|iJ|j|rough
&rbIgr;|2I|j|up_rough
&sbiacgr;|i&230|j|smooth_acute
&sbIacgr;|3I|j|up_smooth_acute
&rbiacgr;|i&229|j|rough_acute
&rbIacgr;|4I|j|up_rough_acute
&sbigvgr;|i&222|j|smooth_grave
&sbIgvgr;|5I|j|up_smooth_grave
&rbigvgr;|i&221|j|rough_grave
&rbIgvgr;|6I|j|up_rough_grave
&sbitigr;|i&248|j|smooth_tilde
&sbItigr;|7I|j|up_smooth_tilde
&rbitigr;|i&223|j|rough_tilde
&rbItigr;|8I|j|up_rough_tilde
&sbIdiagr;|1I&231|j|up_smooth_diaresis
&kgr;|k|k|none
&Kgr;|K|k|up
&ktigr;|k|k|none
&lgr;|l|l|none
&Lgr;|L|l|up
&mgr;|m|m|none
&Mgr;|M|m|up
&ngr;|n|n|none
&Ngr;|N|n|up
&xgr;|x|o|none
&Xgr;|X|o|up
&ogr;|o|p|none
&Ogr;|O|p|up
&oacgr;|ov|p|acute
&Oacgr;|O&228|p|up_acute
&ogvgr;|o&250|p|grave
&Ogvgr;|O&217|p|up_grave
&otigr;|o&240|p|tilde
&Otigr;|O&240|p|up_tilde
&sbogr;|oj|p|smooth
&sbOgr;|1O|p|up_smooth
&rbogr;|oJ|p|rough
&rbOgr;|2O|p|up_rough
&sboacgr;|o&230|p|smooth_acute
&sbOacgr;|3O|p|up_smooth_acute
&rboacgr;|o&229|p|rough_acute
&rbOacgr;|4O|p|up_rough_acute
&sbogvgr;|o&222|p|smooth_grave
&sbOgvgr;|5O|p|up_smooth_grave
&rbogvgr;|o&221|p|rough_grave
&rbOgvgr;|6O|p|up_rough_grave
&sbotigr;|o&248|p|smooth_tilde
&sbOtigr;|7O|p|up_smooth_tilde
&rbotigr;|o&223|p|rough_tilde
&rbOtigr;|8O|p|up_rough_tilde
&pgr;|p|q|none
&Pgr;|P|q|up
&rgr;|r|r|none
&Rgr;|R|r|up
&sbrgr;|rj|r|smooth
&sbRgr;|1R|r|up_smooth
&rbrgr;|rJ|r|rough
&rbRgr;|2R|r|up_rough
&sgr;|s|s|none
&Sgr;|S|s|up
&slungr;|&141|s|sigma_lunar
&Slungr;|&130|s|up_sigma_lunar
&sfgr;|&251|s|sigma_final
&tgr;|t|t|none
&Tgr;|T|t|up
&ugr;|u|u|none
&Ugr;|U|u|up
&uacgr;|uv|u|acute
&Uacgr;|U&228|u|up_acute
&ugvgr;|u&250|u|grave
&Ugvgr;|U&217|u|up_grave
&utigr;|u&240|u|tilde
&Utigr;|U&240|u|up_tilde
&udiagr;|u&231|u|diaresis
&uacdiagr;|u&232|u|diaresis_acute
&udiagvgr;|u0|u|diaresis_grave
&udiatigr;|u9|u|diaresis_tilde
&sbugr;|uj|u|smooth
&sbUgr;|1U|u|up_smooth
&rbugr;|uJ|u|rough
&rbUgr;|2U|u|up_rough
&sbuacgr;|u&230|u|smooth_acute
&sbUacgr;|3U|u|up_smooth_acute
&rbuacgr;|u&229|u|rough_acute
&rbUacgr;|4U|u|up_rough_acute
&sbugvgr;|u&222|u|smooth_grave
&sbUgvgr;|5U|u|up_smooth_grave
&rbugvgr;|u&221|u|rough_grave
&rbUgvgr;|6U|u|up_rough_grave
&sbutigr;|u&248|u|smooth_tilde
&sbUtigr;|7U|u|up_smooth_tilde
&rbutigr;|u&223|u|rough_tilde
&rbUtigr;|8U|u|up_rough_tilde
&phgr;|f|v|none
&PHgr;|F|v|up
&khgr;|c|w|none
&KHgr;|C|w|up
&psgr;|y|x|none
&PSgr;|Y|x|up
&ohgr;|w|y|none
&OHgr;|W|y|up
&ohacgr;|wv|y|acute
&OHacgr;|W&228|y|up_acute
&ohgvgr;|w&250|y|grave
&OHgvgr;|W&217|y|up_grave
&ohtigr;|w&240|y|tilde
&OHtigr;|W&240|y|up_tilde
&ohmacrgr;|w&209|y|macron
&sbohgr;|wj|y|smooth
&sbOHgr;|1W|y|up_smooth
&rbohgr;|wJ|y|rough
&rbOHgr;|2W|y|up_rough
&sbohacgr;|w&230|y|smooth_acute
&sbOHacgr;|3W|y|up_smooth_acute
&rbohacgr;|w&229|y|rough_acute
&rbOHacgr;|4W|y|up_rough_acute
&sbohgvgr;|w&222|y|smooth_grave
&sbOHgvgr;|5W|y|up_smooth_grave
&rbohgvgr;|w&221|y|rough_grave
&rbOHgvgr;|6W|y|up_rough_grave
&sbohtigr;|w&248|y|smooth_tilde
&sbOHtigr;|7W|y|up_smooth_tilde
&rbohtigr;|w&223|y|rough_tilde
&rbOHtigr;|8W|y|up_rough_tilde
&isubgr;|&233||
